reading_id,meter_id,building_id,date_key,reading_ts,energy_kwh,active_power_kw,voltage_v,current_a,power_factor,tariff_plan_id,tariff_id,time_band,rate_per_kwh,peak_flag,estimated_cost,reading_quality_flag,source_system,producer_run_id,reading_failed,dq_status
RDG-MTR0001-00010,MTR0001,BLD001,2026-01-01,2026-01-01T02:30:00.000Z,1.373,5.5976,409.98,8.119,0.9709,PLAN-A,TRF001,NIGHT,5.5,False,7.5515,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00011,MTR0001,BLD001,2026-01-01,2026-01-01T02:45:00.000Z,1.3878,5.5591,414.6,8.067,0.9596,PLAN-A,TRF001,NIGHT,5.5,False,7.632899999999999,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00012,MTR0001,BLD001,2026-01-01,2026-01-01T03:00:00.000Z,1.5087,6.0131,420.94,8.977,0.9187,PLAN-A,TRF001,NIGHT,5.5,False,8.29785,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00013,MTR0001,BLD001,2026-01-01,2026-01-01T03:15:00.000Z,1.4845,5.9907,411.56,8.837,0.951,PLAN-A,TRF001,NIGHT,5.5,False,8.16475,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00014,MTR0001,BLD001,2026-01-01,2026-01-01T03:30:00.000Z,1.5,6.028,414.6,8.787,0.9553,PLAN-A,TRF001,NIGHT,5.5,False,8.25,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00015,MTR0001,BLD001,2026-01-01,2026-01-01T03:45:00.000Z,1.53,6.0972,398.0,9.381,0.9428,PLAN-A,TRF001,NIGHT,5.5,False,8.415000000000001,ESTIMATED,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00016,MTR0001,BLD001,2026-01-01,2026-01-01T04:00:00.000Z,1.5122,6.0839,410.65,8.986,0.9519,PLAN-A,TRF001,NIGHT,5.5,False,8.3171,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00017,MTR0001,BLD001,2026-01-01,2026-01-01T04:15:00.000Z,1.5282,6.0296,407.13,9.376,0.912,PLAN-A,TRF001,NIGHT,5.5,False,8.405100000000001,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00018,MTR0001,BLD001,2026-01-01,2026-01-01T04:30:00.000Z,1.5171,6.0731,415.13,9.208,0.9173,PLAN-A,TRF001,NIGHT,5.5,False,8.34405,ESTIMATED,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00019,MTR0001,BLD001,2026-01-01,2026-01-01T04:45:00.000Z,1.5013,6.0928,415.05,9.321,0.9093,PLAN-A,TRF001,NIGHT,5.5,False,8.257150000000001,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
